fold_n,q,q_next,stretch_lo,width,added_pairs,removed_total,removed_by_new_prime,removed_by_old_moire,net_new_twins,both_composite_pairs,removal_share,by_new_share_of_removed,cum_added,cum_removed,cum_twins
1,7,11,49,72,6,2,2,0,4,0,0.3333,1.0000,6,2,4
2,11,13,121,48,4,2,0,2,2,0,0.5000,0.0000,10,4,6
3,13,17,169,120,11,4,1,3,7,0,0.3636,0.2500,21,8,13
4,17,19,289,72,6,4,0,4,2,2,0.6667,0.0000,27,12,15
5,19,23,361,168,16,12,1,11,4,0,0.7500,0.0833,43,24,19
6,23,29,529,312,30,22,0,22,8,4,0.7333,0.0000,73,46,27
7,29,31,841,120,11,9,0,9,2,2,0.8182,0.0000,84,55,29
8,31,37,961,408,40,29,0,29,11,9,0.7250,0.0000,124,84,40
9,37,41,1369,312,30,23,0,23,7,5,0.7667,0.0000,154,107,47
10,41,43,1681,168,16,13,0,13,3,4,0.8125,0.0000,170,120,50
11,43,47,1849,360,35,24,0,24,11,10,0.6857,0.0000,205,144,61
12,47,53,2209,600,59,46,0,46,13,15,0.7797,0.0000,264,190,74
13,53,59,2809,672,66,53,0,53,13,18,0.8030,0.0000,330,243,87
14,59,61,3481,240,23,18,0,18,5,5,0.7826,0.0000,353,261,92
15,61,67,3721,768,76,57,1,56,19,28,0.7500,0.0175,429,318,111
16,67,71,4489,552,54,43,2,41,11,17,0.7963,0.0465,483,361,122
17,71,73,5041,288,28,25,0,25,3,9,0.8929,0.0000,511,386,125
18,73,79,5329,912,90,75,0,75,15,26,0.8333,0.0000,601,461,140
19,79,83,6241,648,64,50,0,50,14,22,0.7813,0.0000,665,511,154
20,83,89,6889,1032,102,88,0,88,14,36,0.8627,0.0000,767,599,168
21,89,97,7921,1488,148,127,0,127,21,46,0.8581,0.0000,915,726,189
22,97,101,9409,792,78,63,0,63,15,23,0.8077,0.0000,993,789,204
23,101,103,10201,408,40,33,0,33,7,17,0.8250,0.0000,1033,822,211
24,103,107,10609,840,83,73,0,73,10,32,0.8795,0.0000,1116,895,221
25,107,109,11449,432,42,36,0,36,6,17,0.8571,0.0000,1158,931,227
26,109,113,11881,888,88,77,0,77,11,26,0.8750,0.0000,1246,1008,238
27,113,127,12769,3360,335,293,0,293,42,108,0.8746,0.0000,1581,1301,280
28,127,131,16129,1032,102,90,0,90,12,44,0.8824,0.0000,1683,1391,292
29,131,137,17161,1608,160,133,1,132,27,59,0.8313,0.0075,1843,1524,319
30,137,139,18769,552,54,48,0,48,6,22,0.8889,0.0000,1897,1572,325
31,139,149,19321,2880,287,242,1,241,45,110,0.8432,0.0041,2184,1814,370
32,149,151,22201,600,59,49,1,48,10,20,0.8305,0.0204,2243,1863,380
33,151,157,22801,1848,184,164,1,163,20,65,0.8913,0.0061,2427,2027,400
34,157,163,24649,1920,191,174,1,173,17,74,0.9110,0.0057,2618,2201,417
35,163,167,26569,1320,131,110,0,110,21,52,0.8397,0.0000,2749,2311,438
36,167,173,27889,2040,203,180,0,180,23,86,0.8867,0.0000,2952,2491,461
