==============================================================================
  NATAL@5 SCOUR MARCH — the 17-tile
==============================================================================

  Tile:            @17  (width W = 510,510)
  Natal@5 set:     14850  slots  (r ≡ 11 or 17 mod 30 = Houses 11,17 = (2/3)·D_17)
  Scour range:     primes 19 … 714 (q ≤ √W = 714.5)

  Cumulative (tree) march: each prime removes ONLY members not already
  removed by a smaller prime. A "self-strike" removes the slot at position
  q itself — that is a TWIN PRIME FOUND, not a destruction (proven).

   q  | fresh | self=twin | genuine | cumulative | alive |  ratio | 2/q
       | rmvd  |  found    |  kills  |  removed   |       |        |
  ------------------------------------------------------------------------
   19 |  1563  |     0     |  1563   |    1563    | 13287 | 0.1053 | 0.1053
   23 |  1159  |     0     |  1159   |    2722    | 12128 | 0.0872 | 0.0870
   29 |  839  |     0     |   839   |    3561    | 11289 | 0.0692 | 0.0690
   31 |  725  |     0     |   725   |    4286    | 10564 | 0.0642 | 0.0645
   37 |  573  |     0     |   573   |    4859    |  9991 | 0.0542 | 0.0541
   41 |  483  |     1     |   482   |    5342    |  9508 | 0.0483 | 0.0488
   43 |  444  |     0     |   444   |    5786    |  9064 | 0.0467 | 0.0465
   47 |  375  |     0     |   375   |    6161    |  8689 | 0.0414 | 0.0426
   53 |  322  |     0     |   322   |    6483    |  8367 | 0.0371 | 0.0377
   59 |  272  |     0     |   272   |    6755    |  8095 | 0.0325 | 0.0339
   61 |  266  |     0     |   266   |    7021    |  7829 | 0.0329 | 0.0328
   67 |  242  |     0     |   242   |    7263    |  7587 | 0.0309 | 0.0299
   71 |  208  |     1     |   207   |    7471    |  7379 | 0.0274 | 0.0282
   73 |  197  |     0     |   197   |    7668    |  7182 | 0.0267 | 0.0274
   79 |  181  |     0     |   181   |    7849    |  7001 | 0.0252 | 0.0253
   83 |  181  |     0     |   181   |    8030    |  6820 | 0.0259 | 0.0241
   89 |  162  |     0     |   162   |    8192    |  6658 | 0.0238 | 0.0225
   97 |  141  |     0     |   141   |    8333    |  6517 | 0.0212 | 0.0206
  101 |  143  |     1     |   142   |    8476    |  6374 | 0.0219 | 0.0198
  103 |  125  |     0     |   125   |    8601    |  6249 | 0.0196 | 0.0194
  107 |  131  |     1     |   130   |    8732    |  6118 | 0.0210 | 0.0187
  109 |  131  |     0     |   131   |    8863    |  5987 | 0.0214 | 0.0183
  113 |  120  |     0     |   120   |    8983    |  5867 | 0.0200 | 0.0177
  127 |  101  |     0     |   101   |    9084    |  5766 | 0.0172 | 0.0157
  131 |  101  |     0     |   101   |    9185    |  5665 | 0.0175 | 0.0153
  137 |  102  |     1     |   101   |    9287    |  5563 | 0.0180 | 0.0146
  139 |   93  |     0     |    93   |    9380    |  5470 | 0.0167 | 0.0144
  149 |   86  |     0     |    86   |    9466    |  5384 | 0.0157 | 0.0134
  151 |   80  |     0     |    80   |    9546    |  5304 | 0.0149 | 0.0132
  157 |   80  |     0     |    80   |    9626    |  5224 | 0.0151 | 0.0127
  163 |   82  |     0     |    82   |    9708    |  5142 | 0.0157 | 0.0123
  167 |   71  |     0     |    71   |    9779    |  5071 | 0.0138 | 0.0120
  173 |   78  |     0     |    78   |    9857    |  4993 | 0.0154 | 0.0116
  179 |   70  |     0     |    70   |    9927    |  4923 | 0.0140 | 0.0112
  181 |   68  |     0     |    68   |    9995    |  4855 | 0.0138 | 0.0110
  191 |   65  |     1     |    64   |   10060    |  4790 | 0.0134 | 0.0105
  193 |   58  |     0     |    58   |   10118    |  4732 | 0.0121 | 0.0104
  197 |   61  |     1     |    60   |   10179    |  4671 | 0.0129 | 0.0102
  199 |   60  |     0     |    60   |   10239    |  4611 | 0.0128 | 0.0101
  211 |   62  |     0     |    62   |   10301    |  4549 | 0.0134 | 0.0095
  223 |   55  |     0     |    55   |   10356    |  4494 | 0.0121 | 0.0090
  227 |   52  |     1     |    51   |   10408    |  4442 | 0.0116 | 0.0088
  229 |   49  |     0     |    49   |   10457    |  4393 | 0.0110 | 0.0087
  233 |   46  |     0     |    46   |   10503    |  4347 | 0.0105 | 0.0086
  239 |   41  |     0     |    41   |   10544    |  4306 | 0.0094 | 0.0084
  241 |   46  |     0     |    46   |   10590    |  4260 | 0.0107 | 0.0083
  251 |   45  |     0     |    45   |   10635    |  4215 | 0.0106 | 0.0080
  257 |   40  |     0     |    40   |   10675    |  4175 | 0.0095 | 0.0078
  263 |   35  |     0     |    35   |   10710    |  4140 | 0.0084 | 0.0076
  269 |   39  |     0     |    39   |   10749    |  4101 | 0.0094 | 0.0074
  271 |   37  |     0     |    37   |   10786    |  4064 | 0.0090 | 0.0074
  277 |   40  |     0     |    40   |   10826    |  4024 | 0.0098 | 0.0072
  281 |   37  |     1     |    36   |   10863    |  3987 | 0.0092 | 0.0071
  283 |   30  |     0     |    30   |   10893    |  3957 | 0.0075 | 0.0071
  293 |   36  |     0     |    36   |   10929    |  3921 | 0.0091 | 0.0068
  307 |   32  |     0     |    32   |   10961    |  3889 | 0.0082 | 0.0065
  311 |   26  |     1     |    25   |   10987    |  3863 | 0.0067 | 0.0064
  313 |   31  |     0     |    31   |   11018    |  3832 | 0.0080 | 0.0064
