# (c) 2013-2016, Tomás Oliveira e Silva
#
# See disclaimer in page
#   http://sweet.ua.pt/tos/hobbies.html
#
# Do not bookmark this page, because its URI may change
# in the future. Instead, bookmark its parent page:
#   http://sweet.ua.pt/tos/twin_gaps.html
#
# Count limit --- 1e16
#   g  is the gap between twin prime pairs
# F(g) is the least prime of the first twin prime
#      pair of the first occurrence of a gap of g
# T(g) is the number of times a gap of g occurs
#      with the last prime of the second prime pair
#      of a gap smaller than 1e16
# An * marks a record-holder; g is a record-holder
#      if F(u) > F(g) for all u > g; F(g) is a
#      record-holder if F(u) < F(g) for all u < g
#
# Last update made on August 5, 2013

    g             F(g)           T(g)
-----  ----------------  ------------
    2*                3*            1
    6*                5*  25379433651
   12*               17*  67678531296
   18*               41*  50426117038
   24               617*  31885269993
   30*               71  100067444260
   36*              311   28667284196
   42              2267*  94302845714
   48               521   51694326441
   54              1877   35939326086
   60               461   78588757536
   66              1721   34012388089
   72*              347   65949099157
   78              1151   62618746564
   84              1787   41696491851
   90              3581*  85196937034
   96              2141   32372248456
  102              6449*  59377389895
  108              1319   54930868776
  114             21377*  35972304644
  120              1487   71612116348
  126             12251   39752205486
  132              4799   65665171026
  138               881   72315348755
  144             23057*  22716214945
  150*              659   74117965819
  156             19541   42255007775
  162             12377   45542673135
  168*             2381   79707945038
  174             38747*  27567481128
  180             10529   97591783105
  186             37361   25133597002
  192              8627   46543447275
  198              9041   72989096588
  204             33827   25078132853
  210*             5879  118897800257
  216             80231*  21174820170
  222             15359   67027050513
  228             45821   49394526251
  234             36107   26554404172
  240             14627   99889584504
  246             37991   22390608545
  252             36527   67316499433
  258             87251*  46354529496
  264             70997   36274919820
  270             14867   64184368730
  276             40151   22228895616
  282*            13397   54948375447
  288             54629   51343487859
  294             40847   33448138637
  300             50591   57927540619
  306            139661*  36021551825
  312             47807   47697133406
  318             39509   40160761734
  324            138797   26205989665
  330             82889   74851969253
  336            152081*  34352811353
  342             83717   45532913871
  348             44771   53179075317
  354            214787*  21421102771
  360            191831   55180695294
  366            153521   29053694847
  372*            18539   48837752963
  378            104849   64399694172
  384            542537*  17717850047
  390             54011   86620130516
  396            437651   22536820425
  402            114197   36321167123
  408            107099   56296736643
  414            194267   21218589342
  420             26261  103358141872
  426             77711   17704458720
  432            142157   47388155969
  438            292709   39189429020
  444            222347   21018986073
  450             89069   66114725881
  456            348461   18535374418
  462            212207   75917874191
  468            466181   39946584500
  474            109847   23698808615
  480            330857   47780203702
  486            200381   18519257203
  492            446399   52061974080
  498*            24419   33057106830
  504            145007   30991205602
  510            122867   53271224149
  516            829121*  22494790878
  522            485207   36292597722
  528            137339   40494776802
  534            339137   22015922339
  540            333791   45097624436
  546            227651   33067462289
  552            488687   37032913904
  558            267959   42708306342
  564           1278617*  15173455563
  570            585269   63945477838
  576           2127971*  21318145765
  582            165719   30860689926
  588            167861   48415152016
  594           2298887*  18843082156
  600            269429   67300808366
  606            752831   15424972356
  612            120077   32651232465
  618            461801   44454006572
  624           1758737   16788053917
  630*            62297   69192932207
  636           1451081   16739345849
  642            547817   38384589589
  648            537401   34127384355
  654            546617   13879322387
  660            842519   69433308214
  666            774131   14095582276
  672            899177   44104688436
  678            784541   31402486283
  684           1438067   22812950200
  690            756419   43478477216
  696           2009171   13870078480
  702            603947   46611000130
  708           2575091*  26526876901
  714           1825457   24082936179
  720            844769   39482038509
  726           3687401*  23816377055
  732           1932107   25334902217
  738           1199621   28164984144
  744           3212117   17513703815
  750            439427   45528516573
  756            893381   23109468258
  762            813299   25654952871
  768           2461871   36328708256
  774           1304207   12385583643
  780            224129   48682452133
  786           1586951   15805937231
  792            902597   30174415823
  798           1122281   43290982235
  804           2261837   13394164518
  810           3004319   47400319460
  816           4969841*  15383693728
  822            938057   23580251977
  828           1869191   33698836871
  834           4602977   15083085264
  840           3030689   54860308131
  846           3414581   11740754123
  852           1442069   32593775181
  858            251969   34709708071
  864           5934347*  10637294696
  870            698417   47784834459
  876           2444471   12191064711
  882           1848167   47517794716
  888           4812419   22198820649
  894           5936657*  13904515956
  900           1694447   35944708443
  906           4243571   10584820457
  912           1663547   33813505354
  918           1409789   24688613665
  924*           187907   21416934137
  930*           687521   33213655631
  936           3647711   16560386359
  942           1757447   20475799604
  948           5038571   25394980239
  954           2465537   14431706029
  960            926669   33168778680
  966           3112301   20291998937
  972           4763399   19145322549
  978           3161339   26178436425
  984           2660657   11107128387
  990           2622341   44507391449
  996           4234721   12909074844
 1002           3793079   18704927326
 1008*           688451   30952953263
 1014           9429347*  13455536834
 1020           6446651   42432616658
 1026          12245951*  10265193363
 1032           4794299   22219250204
 1038           6257609   27507634164
 1044          13920287*   9454914805
 1050           3682361   44417902647
 1056           1935341   13147814844
 1062           1514657   26088063873
 1068           8488199   20213930121
 1074          10642367    8731881498
 1080           1816187   38945770044
 1086          13521791    9257933879
 1092           6229589   34581566480
 1098           4414301   19852945650
 1104          10636667   13562614106
 1110           3649001   26376689432
 1116           4374551   10127637725
 1122           2186837   32046045669
 1128           2497931   17212746093
 1134          18025877*  13502017815
 1140          12290651   27268812634
 1146           5283041   14068424573
 1152           6314219   16468974823
 1158           2913329   17906781679
 1164          11511977   12442240472
 1170           5145311   28935809636
 1176           8416481   14271579826
 1182           4097279   16226499495
 1188           7132649   28267632558
 1194          12025547    8900109631
 1200           2041199   22572792315
 1206           9069131   10672760701
 1212          10068467   17454368445
 1218           8013869   28902557153
 1224          24331157*   9574581838
 1230          10333931   35239931987
 1236           8237921    7464530242
 1242          18852179   16500549026
 1248           3278981   23590045149
 1254           3261827   10437975438
 1260           7980059   39041917391
 1266          12044741    7226398328
 1272           8033717   21601662128
 1278          12657341   16895186519
 1284           9765617    6942109891
 1290           2635907   34581508644
 1296          26695391*   7913113061
 1302           5408987   26787606318
 1308           8498669   13850051056
 1314          11317547    9492908598
 1320          10760567   25363932253
 1326          20466461    9474433465
 1332           9482927   21266583987
 1338          10323869   13510980663
 1344          26765657*  12371891772
 1350          11896427   21404952289
 1356          11846141    8810945429
 1362          16023767   16076255552
 1368          28339739*  14544798260
 1374          15448217    8501547272
 1380          15812609   23459530170
 1386           2400161   13395989887
 1392          12986579   14670027854
 1398           7491851   16518233475
 1404          37700147*   8001197805
 1410          41750477*  21716628260
 1416          19868501    8447574831
 1422          50107529*  12534218847
 1428          11445779   31593828532
 1434          51929567*   5886910502
 1440           5544557   23567054430
 1446          17992631    6292499808
 1452*           850349   15451891065
 1458           6550499   17091897206
 1464          22219487    6453815990
 1470           4498367   29782283824
 1476          43394291    6906265524
 1482          18990779   21547839674
 1488          26660759   11885715369
 1494          37335227    6856587649
 1500          14781797   22020629383
 1506          31890071    6556483897
 1512*          2868959   18054162291
 1518          28755281   16266847795
 1524          28151087    7260857685
 1530*          4869911   18400927504
 1536          36530411    6002786806
 1542          21094529   16011625508
 1548          45192779   11418440484
 1554          37687457    9267126499
 1560          13174319   23805801588
 1566          41701481    8399089139
 1572          39291347   10229905868
 1578          21020429   10429600395
 1584          25744517    9699223795
 1590          32967719   15663196565
 1596          25353791   10362451974
 1602          20510597   10042613936
 1608          11849741   16473183040
 1614          36235427    5640809764
 1620          13988537   14591333690
 1626          37240211    7949750015
 1632          58882559*  12143352064
 1638          32014529   19858641903
 1644          14700947    4790866662
 1650          18189569   24680441279
 1656          74189831*   5145755071
 1662          77452367*  10496750294
 1668          33497951   13450040312
 1674          30959237    5997900322
 1680          22781189   23525168844
 1686          27318251    4552905417
 1692          12280967   15828256787
 1698          32771279    9797441347
 1704          75089447    4900281033
 1710          25037009   20391460447
 1716          47611061    6838084046
 1722*          9923987   15577298541
 1728          23605319    8632520321
 1734         120949727*   6788938130
 1740          24948527   17870428445
 1746          28924601    4898398077
 1752          24631067   11431682873
 1758          67932971    9657489696
 1764          54678047    6899836989
 1770          24815507   15335136737
 1776         109165361    5855643046
 1782          30068147   10487710454
 1788          23760479    9076612643
 1794          18777047    7153773406
 1800          31393559   14241607788
 1806          73002581    8252181527
 1812          41933819    8013612462
 1818          48704531   11983269168
 1824          71708807    5046779118
 1830          48640259   12204800891
 1836          16089761    6023582167
 1842          62841047    8214547325
 1848          62042681   18879020315
 1854          19265507    4028466504
 1860          45998441   17188618607
 1866          27715001    3777496143
 1872          49668347   11205943290
 1878          38402729   10201496947
 1884         103122197    4025480359
 1890          28215617   21605967474
 1896          91259171    4149062550
 1902*         14656517   10995915066
 1908         101381849    7409677073
 1914          54434747    4925163936
 1920          31811627   14653021496
 1926         205323791*   4090265426
 1932          45134279   12870917826
 1938         101148959   10322557516
 1944         138613457    4587231273
 1950          49922207   12605011279
 1956         158158181    3990080879
 1962          50653787    9118710131
 1968         114508739    7117721796
 1974         109727417    7686696187
 1980         125816861   13616663700
 1986          21501371    4639605005
 1992          70849949    6612103838
 1998          43118081    6975445650
 2004          88930067    5967665066
 2010          55368827   10020022498
 2016          78418211    5793505187
 2022         106868387    7683092941
 2028          66110129   10749030623
 2034          81066617    3173555259
 2040         131268719   10839306471
 2046          45486071    5801532284
 2052          70216007    8076245804
 2058         170391041   10289345933
 2064         148011167    3190150784
 2070          76578767   16019523045
 2076          29769011    3324519614
 2082         124678847    6672545013
 2088          91291589   10435725975
 2094         142113107    2973367925
 2100          82758671   14571406485
 2106         197568011    3912228652
 2112          39126959    9948074427
 2118          61759331    6108694358
 2124         137741057    2938159764
 2130          37813577   14116960014
 2136          75563141    3297463614
 2142         119761589   10963667387
 2148          73621859    6060419598
 2154         197391737    4199279287
 2160          61177199    9837295452
 2166         272695991*   3123861466
 2172         102254417    7503437334
 2178          99745199    7497205995
 2184         133806287    5419757106
 2190*         17382479    8193378367
 2196         245704271    3680229414
 2202         198668189    6581588999
 2208          48898559    6950096170
 2214         309514157*   3660306124
 2220         137380427    9458049024
 2226          92856611    4454942726
 2232         192957839    5463691084
 2238          80680421    7744892537
 2244         166023857    3983229090
 2250         157291499    7543148917
 2256*         30752231    3672272914
 2262         108666629    6596747563
 2268          71962739    9450466736
 2274         133675427    2489715416
 2280          72766697   12043499583
 2286         214964381    3105537286
 2292          70722779    5188428262
 2298         186322229    6872027708
 2304         227380337    2379575564
 2310          42534599   16140613896
 2316         323371751*   2811646009
 2322          53262359    6779099153
 2328         194578451    4677976133
 2334         199482557    2697948291
 2340         226808117   11064737286
 2346         272422691    2857695280
 2352         319590707    8755978478
 2358         203593121    4986597970
 2364         327552287*   3272009822
 2370         314520299    6898170287
 2376         262814831    3010159912
 2382         108295667    6242193204
 2388          49613951    4366884918
 2394         106791437    4696943379
 2400         234309701    7303016155
 2406          50630621    2922442661
 2412         136991717    4677236546
 2418         144779669    6363751792
 2424          93782417    2808055413
 2430          80424599    6627732291
 2436          96947111    3948543166
 2442         191471807    6379166447
 2448          96216119    6217156753
 2454         791845487*   1999887474
 2460         191361239    6335581047
 2466         134551841    3108369310
 2472         176904059    4800252723
 2478         285614519    7022475756
 2484         492718817    2700845590
 2490         118651607    8060109084
 2496         176318501    2524972690
 2502         411613427    3927084540
 2508         250671119    7454167954
 2514         560974457    2135477997
 2520         143053739   10503485816
 2526         853216151*   1884379389
 2532         150741629    6032997196
 2538         472387649    3851424221
 2544         303931517    2210156594
 2550          83134451   11003992918
 2556         654644531    1850858380
 2562          93439079    6164126620
 2568         187156139    3606342754
 2574         228642107    3862310601
 2580         150990569    5486614369
 2586         110229311    2030049423
 2592         244390229    4715114268
 2598          83005709    4492445042
 2604         321164147    3037177516
 2610         144485051    5531884592
 2616         100263971    2855284835
 2622         291121709    4291627250
 2628         147776609    3917626101
 2634          78794057    2252700894
 2640         197870381    6400481299
 2646         400560761    2753465078
 2652         235407119    4635326288
 2658         113253869    4720273771
 2664         469981817    2033007864
 2670          75672341    5432729967
 2676         858064421*   2431481476
 2682          74240909    3788201492
 2688         128589089    5753937214
 2694         661486487    1563370286
 2700         322947017    6776705077
 2706         526069151    2339407958
 2712         166403819    3384652988
 2718         300039461    4489141190
 2724         481919237    1627312554
 2730         269083817   10873605403
 2736         448604831    1729843310
 2742         624845957    3986003687
 2748         547636679    3373478118
 2754         556249037    1952623248
 2760         231210977    6432121935
 2766         256149461    1453246262
 2772         372191849    6647723121
 2778         354888431    2862284515
 2784         995688257*   2259033094
 2790         811326431    4989058510
 2796         913585511    1650912231
 2802         485721209    3685761601
 2808         157819061    3639978084
 2814         750903497    2921879973
 2820         197595479    4624022068
 2826         759979931    1877616230
 2832*         32822369    3080174342
 2838         905565599    3742733864
 2844         258543707    1863455069
 2850         587631179    4950871298
 2856         245032901    2558647478
 2862         452182559    3408279891
 2868*         96894041    3614719082
 2874        1708829387*   1269870245
 2880         481855109    4459853746
 2886         692821091    2394070510
 2892         275661977    2743437172
 2898         216084749    4860262041
 2904         983709827    1593753231
 2910         236829209    5645218188
 2916         290719991    1319758746
 2922         845788049    2772045839
